"Shoe","Coup","Player card 1","Player card 2","Player card 3","Banker card 1","Banker card 2","Banker card 3","Player total","Banker total","Winner","Pair outcome"
5,401,"K","8",NA,"9","6",NA,"8","5","Player","No pair"
5,402,"3","3",NA,"3","4",NA,"6","7","Banker","Player pair"
5,403,"10","Q","7","5","A","9","7","5","Player","No pair"
5,404,"J","K","3","Q","2","5","3","7","Banker","No pair"
5,405,"Q","Q",NA,"7","A",NA,"0","8","Banker","Player pair"
5,406,"9","3","8","6","A",NA,"0","7","Banker","No pair"
5,407,"8","5","6","9","2","K","9","1","Player","No pair"
5,408,"A","4","K","7","9",NA,"5","6","Banker","No pair"
5,409,"5","4",NA,"8","J",NA,"9","8","Player","No pair"
5,410,"2","8","7","10","10","2","7","2","Player","Banker pair"
5,411,"Q","3",NA,"3","5",NA,"3","8","Banker","No pair"
5,412,"6","9","7","6","5","5","2","6","Banker","No pair"
5,413,"J","9",NA,"A","A",NA,"9","2","Player","Banker pair"
5,414,"8","K",NA,"6","5",NA,"8","1","Player","No pair"
5,415,"6","J",NA,"2","5",NA,"6","7","Banker","No pair"
5,416,"5","J","6","10","K","J","1","0","Player","No pair"
5,417,"A","6",NA,"A","A","8","7","0","Player","Banker pair"
5,418,"6","3",NA,"8","J",NA,"9","8","Player","No pair"
